number	time	channel	A	label
1	119.86277	5	92.05	0
2	121.124839	5	38.86	2
7	181.330384	5	39.66	0
10	189.947362	5	43.15	0
31	1564.884541	5	47.06	0
32	1588.48017	5	39.66	1
35	1605.973376	5	38.1	0
47	1897.471567	5	36.03	0
58	2277.252683	5	44.7	0
59	2296.66505	5	36.36	1
60	2331.484854	5	35.69	2
62	2353.196988	5	37.13	0
64	2384.182549	5	40.7	0
69	2420.219574	5	42.46	1
70	2427.056077	5	40.09	1
72	2445.289374	5	37.84	1
73	2447.448502	5	40.7	0
75	2453.434072	5	38.36	0
81	2490.525337	5	45.68	1
82	2493.506651	5	40.6	0
85	2501.043979	5	42.14	1
87	2520.454759	5	39.88	1
89	2529.23091	5	40.2	0
91	2534.185455	5	35.34	0
93	2552.369644	5	42.05	1
95	2556.037508	5	36.98	0
97	2566.663858	5	37.42	2
98	2580.584165	5	36.98	0
99	2580.981349	5	37.97	1
100	2585.734532	5	41.8	0
101	2586.229274	5	35.52	0
102	2586.618184	5	39.55	1
103	2587.344905	5	39.77	1
107	2596.834627	5	37.13	0
110	2606.377231	5	40.89	1
118	2636.645884	5	43.99	1
121	2648.316097	5	46.11	1
123	2663.550107	5	35.34	0
124	2674.344087	5	37.13	0
125	2684.430303	5	36.03	1
134	2752.956075	5	35.15	0
135	2764.40426	5	54.14	0
136	2764.815338	5	38.49	1
139	2799.203944	5	36.98	1
140	2807.018561	5	36.83	0
143	2820.324094	5	41.8	1
144	2829.237788	5	41.45	1
146	2833.276096	5	43.99	1
149	2839.367552	5	39.66	1
151	2846.093502	5	35.69	0
153	2860.991484	5	41.62	1
154	2863.453887	5	42.7	1
155	2870.440515	5	39.99	1
156	2883.925648	5	40.2	1
157	2887.672269	5	42.46	1
159	2896.061673	5	35.86	2
160	2898.004858	5	45.68	1
161	2908.834586	5	38.74	1
162	2910.034126	5	47.9	0
165	2926.277398	5	35.34	0
166	2932.897075	5	51.08	0
168	2944.823752	5	36.83	0
173	2987.33865	5	38.74	1
174	2989.427349	5	40.5	1
175	2990.516234	5	36.2	1
176	2994.49777	5	36.52	0
177	2996.876088	5	43.37	1
180	2999.761795	5	36.03	1
181	3006.423768	5	46.17	1
183	3009.193178	5	37.7	1
185	3012.081065	5	42.38	1
186	3016.554325	5	36.2	0
187	3019.638673	5	35.15	0
188	3028.166468	5	39.1	1
190	3062.684695	5	44.12	0
192	3070.186197	5	40.5	1
194	3076.134854	5	39.88	1
195	3082.18167	5	36.68	1
196	3082.891198	5	49.13	0
202	3148.854357	5	44.57	1
203	3153.107691	5	35.52	0
204	3195.154648	5	37.97	1
206	3216.240972	5	37.42	0
208	3229.306617	5	40.2	0
209	3237.84793	5	43.92	1
210	3246.773253	5	45.06	1
212	3263.256703	5	60.83	2
214	3275.56313	5	38.1	0
216	3308.628558	5	38.74	1
217	3310.601448	5	44.88	1
218	3321.140377	5	46.06	1
221	3330.604654	5	36.03	0
222	3336.118834	5	35.86	0
223	3339.898834	5	38.74	0
224	3352.043657	5	37.97	1
226	3369.622928	5	35.86	0
227	3373.113466	5	38.36	1
228	3379.389121	5	40.89	1
231	3386.875614	5	38.61	0
232	3399.697098	5	40.89	1
233	3403.050308	5	35.34	0
238	3440.833001	5	38.98	0
239	3441.226899	5	36.2	0
245	3461.302813	5	49.32	0
247	3506.504339	5	39.77	0
248	3510.599409	5	36.2	0
251	3534.561027	5	35.15	0
252	3536.688519	5	38.61	0
254	3551.617601	5	44.63	0
255	3553.89289	5	36.03	0
257	3556.437305	5	39.44	0
258	3568.178548	5	35.52	0
262	3612.943217	5	36.68	0
266	3631.053235	5	42.77	1
268	3639.385174	5	47.65	1
269	3667.453949	5	37.97	1
276	3708.679124	5	46.47	0
277	3733.011551	5	36.52	1
280	3760.362398	5	35.69	0
281	3780.442418	5	35.86	0
284	3842.403424	5	44.12	1
290	3965.594975	5	36.36	0
291	3968.579859	5	47.29	0
294	4017.664609	5	47.01	0
298	4100.900966	5	41.08	0
299	4102.226114	5	36.68	0
